step,raw,smoothed
0.000000000000000000e+00,7.124971503958173003e+01,nan
1.000000000000000000e+00,7.367971769712856656e+01,nan
2.000000000000000000e+00,7.418294445816607663e+01,nan
3.000000000000000000e+00,7.605068788448097905e+01,nan
4.000000000000000000e+00,7.811712158969679365e+01,nan
5.000000000000000000e+00,7.841961819286336777e+01,nan
6.000000000000000000e+00,7.806314790003217752e+01,nan
7.000000000000000000e+00,7.704436928733950651e+01,nan
8.000000000000000000e+00,7.871071624740572759e+01,nan
9.000000000000000000e+00,7.824118439822697724e+01,nan
1.000000000000000000e+01,7.702514033274724170e+01,nan
1.100000000000000000e+01,7.738073879738121263e+01,nan
1.200000000000000000e+01,7.561588963855666634e+01,nan
1.300000000000000000e+01,7.591934012272304244e+01,nan
1.400000000000000000e+01,7.578519291687439363e+01,nan
1.500000000000000000e+01,7.414270792874853555e+01,nan
1.600000000000000000e+01,7.258945637432775300e+01,nan
1.700000000000000000e+01,7.026175348413553934e+01,nan
1.800000000000000000e+01,6.830856583468207077e+01,nan
1.900000000000000000e+01,6.446513225927986923e+01,nan
2.000000000000000000e+01,6.469424502672008259e+01,nan
2.100000000000000000e+01,6.046309303817174197e+01,nan
2.200000000000000000e+01,6.046432430994050833e+01,nan
2.300000000000000000e+01,5.694572041985500022e+01,nan
2.400000000000000000e+01,5.720011237953154648e+01,nan
2.500000000000000000e+01,5.274989059571514360e+01,nan
2.600000000000000000e+01,5.267682495506613805e+01,nan
2.700000000000000000e+01,4.862118672272983844e+01,nan
2.800000000000000000e+01,4.873800216922679596e+01,nan
2.900000000000000000e+01,4.809305989872244425e+01,nan
3.000000000000000000e+01,4.841492889365791541e+01,nan
3.100000000000000000e+01,4.634637750721579152e+01,nan
3.200000000000000000e+01,4.588529770639815553e+01,nan
3.300000000000000000e+01,4.545087848796666208e+01,nan
3.400000000000000000e+01,4.599577328065249304e+01,nan
3.500000000000000000e+01,4.572517026894836079e+01,nan
3.600000000000000000e+01,4.535348931460216448e+01,nan
3.700000000000000000e+01,4.545998427029645939e+01,nan
3.800000000000000000e+01,4.390116434563086045e+01,nan
3.900000000000000000e+01,4.451197800119402359e+01,nan
4.000000000000000000e+01,4.487907639797771253e+01,nan
4.100000000000000000e+01,4.442511606995348927e+01,nan
4.200000000000000000e+01,4.414721729843790143e+01,nan
4.300000000000000000e+01,4.371397808193131596e+01,nan
4.400000000000000000e+01,4.321611149261860874e+01,nan
4.500000000000000000e+01,4.303080880471821956e+01,nan
4.600000000000000000e+01,4.112268830618830862e+01,nan
4.700000000000000000e+01,4.091056346132269539e+01,nan
4.800000000000000000e+01,3.988433659391683506e+01,nan
4.900000000000000000e+01,3.967366536535681121e+01,nan
5.000000000000000000e+01,3.871231683976181159e+01,nan
5.100000000000000000e+01,3.810354050428706785e+01,nan
5.200000000000000000e+01,4.039304921874933996e+01,nan
5.300000000000000000e+01,4.021816885360496485e+01,nan
5.400000000000000000e+01,3.984334066127303231e+01,nan
5.500000000000000000e+01,3.972972519129314861e+01,nan
5.600000000000000000e+01,4.100991379341492404e+01,nan
