step,raw,smoothed
0.000000000000000000e+00,-3.232357800006866455e-01,nan
1.000000000000000000e+00,-4.016499519348144531e-01,nan
2.000000000000000000e+00,-4.396871328353881836e-01,nan
3.000000000000000000e+00,-4.633081257343292236e-01,nan
4.000000000000000000e+00,-5.088706612586975098e-01,nan
5.000000000000000000e+00,-6.172810792922973633e-01,nan
6.000000000000000000e+00,-5.876597166061401367e-01,nan
7.000000000000000000e+00,-6.913503408432006836e-01,nan
8.000000000000000000e+00,-6.771849989891052246e-01,nan
9.000000000000000000e+00,-7.531117200851440430e-01,nan
1.000000000000000000e+01,-8.467383980751037598e-01,nan
1.100000000000000000e+01,-9.121706485748291016e-01,nan
1.200000000000000000e+01,-8.161957263946533203e-01,nan
1.300000000000000000e+01,-1.019826412200927734e+00,nan
1.400000000000000000e+01,-9.094824194908142090e-01,nan
1.500000000000000000e+01,-9.971829056739807129e-01,nan
1.600000000000000000e+01,-9.336409568786621094e-01,nan
1.700000000000000000e+01,-1.155814290046691895e+00,nan
1.800000000000000000e+01,-1.097998857498168945e+00,nan
1.900000000000000000e+01,-1.182972192764282227e+00,nan
2.000000000000000000e+01,-1.171083569526672363e+00,nan
2.100000000000000000e+01,-1.214946746826171875e+00,nan
2.200000000000000000e+01,-1.224778532981872559e+00,nan
2.300000000000000000e+01,-1.263598680496215820e+00,nan
2.400000000000000000e+01,-1.530322551727294922e+00,nan
2.500000000000000000e+01,-1.487745881080627441e+00,nan
2.600000000000000000e+01,-1.370328187942504883e+00,nan
2.700000000000000000e+01,-1.552968502044677734e+00,nan
2.800000000000000000e+01,-1.627416729927062988e+00,nan
2.900000000000000000e+01,-1.592344760894775391e+00,nan
3.000000000000000000e+01,-1.583867192268371582e+00,nan
3.100000000000000000e+01,-1.776575803756713867e+00,nan
3.200000000000000000e+01,-1.694949507713317871e+00,nan
3.300000000000000000e+01,-1.703372001647949219e+00,nan
3.400000000000000000e+01,-1.735675334930419922e+00,nan
3.500000000000000000e+01,-1.769206047058105469e+00,nan
3.600000000000000000e+01,-2.135645866394042969e+00,nan
3.700000000000000000e+01,-1.733631849288940430e+00,nan
3.800000000000000000e+01,-1.993751287460327148e+00,nan
3.900000000000000000e+01,-2.108476877212524414e+00,nan
4.000000000000000000e+01,-2.013788461685180664e+00,nan
4.100000000000000000e+01,-2.169585466384887695e+00,nan
4.200000000000000000e+01,-2.068722009658813477e+00,nan
4.300000000000000000e+01,-2.228201866149902344e+00,nan
4.400000000000000000e+01,-2.003976821899414062e+00,nan
4.500000000000000000e+01,-2.326226949691772461e+00,nan
4.600000000000000000e+01,-2.559729576110839844e+00,nan
4.700000000000000000e+01,-2.282609462738037109e+00,nan
4.800000000000000000e+01,-2.925552845001220703e+00,nan
4.900000000000000000e+01,-2.440623044967651367e+00,nan
5.000000000000000000e+01,-2.453639030456542969e+00,nan
5.100000000000000000e+01,-2.519953250885009766e+00,nan
5.200000000000000000e+01,-2.821869611740112305e+00,nan
5.300000000000000000e+01,-2.692659378051757812e+00,nan
5.400000000000000000e+01,-2.820685386657714844e+00,nan
5.500000000000000000e+01,-3.003011941909790039e+00,nan
5.600000000000000000e+01,-2.621148586273193359e+00,nan
5.700000000000000000e+01,-2.731971263885498047e+00,nan
5.800000000000000000e+01,-2.729856252670288086e+00,nan
5.900000000000000000e+01,-3.195146560668945312e+00,nan
6.000000000000000000e+01,-3.305441141128540039e+00,nan
6.100000000000000000e+01,-3.558732509613037109e+00,nan
6.200000000000000000e+01,-3.186976194381713867e+00,nan
6.300000000000000000e+01,-3.062286376953125000e+00,nan
6.400000000000000000e+01,-3.151595115661621094e+00,nan
6.500000000000000000e+01,-3.308244228363037109e+00,nan
6.600000000000000000e+01,-3.217395067214965820e+00,nan
