step,raw,smoothed
0.000000000000000000e+00,3.346342093180214050e+01,nan
1.000000000000000000e+00,3.586141693196307756e+01,nan
2.000000000000000000e+00,3.671348253726970512e+01,nan
3.000000000000000000e+00,3.947417435019918486e+01,nan
4.000000000000000000e+00,4.213507401190329915e+01,nan
5.000000000000000000e+00,4.368816896121238358e+01,nan
6.000000000000000000e+00,4.362368880418549821e+01,nan
7.000000000000000000e+00,4.230195861781497513e+01,nan
8.000000000000000000e+00,4.347207561611787696e+01,nan
9.000000000000000000e+00,4.230328142838301630e+01,nan
1.000000000000000000e+01,4.093299916975247754e+01,nan
1.100000000000000000e+01,4.097876659780789055e+01,nan
1.200000000000000000e+01,3.939729573660475381e+01,nan
1.300000000000000000e+01,3.954568945210973396e+01,nan
1.400000000000000000e+01,3.946750524350890998e+01,nan
1.500000000000000000e+01,3.871704764025870560e+01,nan
1.600000000000000000e+01,3.761903770902605970e+01,nan
1.700000000000000000e+01,3.572696981745990996e+01,nan
1.800000000000000000e+01,3.472663587349866532e+01,nan
1.900000000000000000e+01,3.247279148649903391e+01,nan
2.000000000000000000e+01,3.115797347323794142e+01,nan
2.100000000000000000e+01,2.939500341769319647e+01,nan
2.200000000000000000e+01,2.864364765264632240e+01,nan
2.300000000000000000e+01,2.657476843344685591e+01,nan
2.400000000000000000e+01,2.639674313850592569e+01,nan
2.500000000000000000e+01,2.326140159857585132e+01,nan
2.600000000000000000e+01,2.193510382356381072e+01,nan
2.700000000000000000e+01,1.943830427680087425e+01,nan
2.800000000000000000e+01,1.943476565712702708e+01,nan
2.900000000000000000e+01,1.956155567813413754e+01,nan
3.000000000000000000e+01,1.971078145552662164e+01,nan
3.100000000000000000e+01,1.875563982328769796e+01,nan
3.200000000000000000e+01,1.898242972195145484e+01,nan
3.300000000000000000e+01,1.945051490718665121e+01,nan
3.400000000000000000e+01,2.018720365709069142e+01,nan
3.500000000000000000e+01,1.944549040065874124e+01,nan
3.600000000000000000e+01,1.990865684987187478e+01,nan
3.700000000000000000e+01,2.082110993068507554e+01,nan
3.800000000000000000e+01,2.154582747466928438e+01,nan
3.900000000000000000e+01,2.004458186128290720e+01,nan
4.000000000000000000e+01,2.145608627654237921e+01,nan
4.100000000000000000e+01,2.074847794639866905e+01,nan
4.200000000000000000e+01,2.159196721772755723e+01,nan
4.300000000000000000e+01,2.274783693881553859e+01,nan
4.400000000000000000e+01,2.343497633303579164e+01,nan
4.500000000000000000e+01,2.404911726497817881e+01,nan
4.600000000000000000e+01,2.553004448364889356e+01,nan
4.700000000000000000e+01,2.545089896410318175e+01,nan
4.800000000000000000e+01,2.369115682894143760e+01,nan
4.900000000000000000e+01,2.504878729335139198e+01,nan
5.000000000000000000e+01,2.521084093798360826e+01,nan
5.100000000000000000e+01,2.450321266616195004e+01,nan
5.200000000000000000e+01,2.585019813367423325e+01,nan
5.300000000000000000e+01,2.716827558937996656e+01,nan
5.400000000000000000e+01,2.835640256034936613e+01,nan
5.500000000000000000e+01,2.652952881521253659e+01,nan
5.600000000000000000e+01,2.773539465070040677e+01,nan
5.700000000000000000e+01,2.803288362122817645e+01,nan
5.800000000000000000e+01,2.770791138158948286e+01,nan
5.900000000000000000e+01,2.857418253071291048e+01,nan
6.000000000000000000e+01,2.993222982842495483e+01,nan
6.100000000000000000e+01,3.071416680458389337e+01,nan
6.200000000000000000e+01,3.140507391610132260e+01,nan
6.300000000000000000e+01,3.065818913454947747e+01,nan
6.400000000000000000e+01,3.127519878950923626e+01,nan
6.500000000000000000e+01,3.208827050855273910e+01,nan
6.600000000000000000e+01,3.368672829134411018e+01,nan
6.700000000000000000e+01,3.439897398257442518e+01,nan
6.800000000000000000e+01,3.540767948820322175e+01,nan
6.900000000000000000e+01,3.621349541059376520e+01,nan
7.000000000000000000e+01,3.770707316702907264e+01,nan
7.100000000000000000e+01,3.853054403843607645e+01,nan
7.200000000000000000e+01,3.936133375133856305e+01,nan
7.300000000000000000e+01,4.029049258727602023e+01,nan
7.400000000000000000e+01,4.092568208973387556e+01,nan
7.500000000000000000e+01,4.216911428906680470e+01,nan
7.600000000000000000e+01,4.261476880350258511e+01,nan
7.700000000000000000e+01,4.419675379367937751e+01,nan
7.800000000000000000e+01,4.464119341249286776e+01,nan
7.900000000000000000e+01,4.533242813139069938e+01,nan
8.000000000000000000e+01,4.565385284236092645e+01,nan
8.100000000000000000e+01,4.626234219101361589e+01,nan
8.200000000000000000e+01,4.751800225506820397e+01,nan
8.300000000000000000e+01,4.694493240068455009e+01,nan
8.400000000000000000e+01,4.555152990069552743e+01,nan
8.500000000000000000e+01,4.615279519102955419e+01,nan
8.600000000000000000e+01,4.634319273652837978e+01,nan
8.700000000000000000e+01,4.609160329298345715e+01,nan
8.800000000000000000e+01,4.726039736395500768e+01,nan
8.900000000000000000e+01,4.726998760368509522e+01,nan
9.000000000000000000e+01,4.653209937247045502e+01,nan
9.100000000000000000e+01,4.546657841767935793e+01,nan
9.200000000000000000e+01,4.505555517591278658e+01,nan
9.300000000000000000e+01,4.430229280730731745e+01,nan
9.400000000000000000e+01,4.308368225070209689e+01,nan
9.500000000000000000e+01,4.378764608143526971e+01,nan
9.600000000000000000e+01,4.418919928626539217e+01,nan
9.700000000000000000e+01,4.347789720289155468e+01,nan
9.800000000000000000e+01,4.212747290873210204e+01,nan
9.900000000000000000e+01,4.211937001642234435e+01,nan
1.000000000000000000e+02,4.296321587065502001e+01,nan
1.010000000000000000e+02,4.298625603568717679e+01,nan
1.020000000000000000e+02,4.382443198182532029e+01,nan
1.030000000000000000e+02,4.262623982937597589e+01,nan
1.040000000000000000e+02,4.417264388819197762e+01,nan
1.050000000000000000e+02,4.497410573641920450e+01,nan
1.060000000000000000e+02,4.456631451103086050e+01,nan
1.070000000000000000e+02,4.493123594411088106e+01,nan
1.080000000000000000e+02,4.484460860197665966e+01,nan
1.090000000000000000e+02,4.497307643449791215e+01,nan
1.100000000000000000e+02,4.436722550765921369e+01,nan
1.110000000000000000e+02,4.397905159840730249e+01,nan
1.120000000000000000e+02,4.427401065715783801e+01,nan
1.130000000000000000e+02,4.385668379378071791e+01,nan
1.140000000000000000e+02,4.339442347348089157e+01,nan
1.150000000000000000e+02,4.370628619736247344e+01,nan
1.160000000000000000e+02,4.327472578461536301e+01,nan
1.170000000000000000e+02,4.281120508061884777e+01,nan
1.180000000000000000e+02,4.339416184436431223e+01,nan
1.190000000000000000e+02,4.383919289629016447e+01,nan
1.200000000000000000e+02,4.369240050464722458e+01,nan
1.210000000000000000e+02,4.327350541467470890e+01,nan
1.220000000000000000e+02,4.233465990750278962e+01,nan
1.230000000000000000e+02,4.168576795493197551e+01,nan
1.240000000000000000e+02,4.214023901752582901e+01,nan
1.250000000000000000e+02,4.155221560800067238e+01,nan
1.260000000000000000e+02,4.092026663994539604e+01,nan
1.270000000000000000e+02,4.039941880654554751e+01,nan
1.280000000000000000e+02,4.147165670249660252e+01,nan
1.290000000000000000e+02,4.063531110597579499e+01,nan
1.300000000000000000e+02,4.092035769766959419e+01,nan
1.310000000000000000e+02,4.081183192050008302e+01,nan
1.320000000000000000e+02,4.119426306365263457e+01,nan
1.330000000000000000e+02,4.058062868044364535e+01,nan
1.340000000000000000e+02,4.053524696391026083e+01,nan
1.350000000000000000e+02,4.189961328993341283e+01,nan
1.360000000000000000e+02,4.092988288593313229e+01,nan
1.370000000000000000e+02,4.070431659330042606e+01,nan
1.380000000000000000e+02,4.078868893349925884e+01,nan
1.390000000000000000e+02,4.193508262309924106e+01,nan
1.400000000000000000e+02,4.113456842547610393e+01,nan
1.410000000000000000e+02,4.078625735014330900e+01,nan
1.420000000000000000e+02,4.051927409719589690e+01,nan
1.430000000000000000e+02,4.039732082154176140e+01,nan
1.440000000000000000e+02,4.025547122499578734e+01,nan
1.450000000000000000e+02,3.991904690311044845e+01,nan
1.460000000000000000e+02,4.018299295008875305e+01,nan
1.470000000000000000e+02,4.068128585635509609e+01,nan
1.480000000000000000e+02,3.976987525488478070e+01,nan
1.490000000000000000e+02,4.042449913146863594e+01,nan
1.500000000000000000e+02,4.048106955641819127e+01,nan
1.510000000000000000e+02,4.077824919507071399e+01,nan
1.520000000000000000e+02,4.008846576331405487e+01,nan
1.530000000000000000e+02,4.037185781650619987e+01,nan
1.540000000000000000e+02,4.023235721111375085e+01,nan
1.550000000000000000e+02,4.012878637602913301e+01,nan
1.560000000000000000e+02,4.056682223554199140e+01,nan
1.570000000000000000e+02,3.999060381538283337e+01,nan
1.580000000000000000e+02,4.031835396489121592e+01,nan
1.590000000000000000e+02,4.064821925509074418e+01,nan
1.600000000000000000e+02,3.998851708800000893e+01,nan
1.610000000000000000e+02,3.875913657715026517e+01,nan
1.620000000000000000e+02,3.890558592287884210e+01,nan
1.630000000000000000e+02,3.819657032204985114e+01,nan
1.640000000000000000e+02,3.865780574457934193e+01,nan
1.650000000000000000e+02,3.864105246421354423e+01,nan
1.660000000000000000e+02,3.877037384410355259e+01,nan
1.670000000000000000e+02,3.845254929710823433e+01,nan
1.680000000000000000e+02,3.747935351538134796e+01,nan
1.690000000000000000e+02,3.809530392246488617e+01,nan
1.700000000000000000e+02,3.678702634349258460e+01,nan
1.710000000000000000e+02,3.679014607646641366e+01,nan
1.720000000000000000e+02,3.703459291484798399e+01,nan
1.730000000000000000e+02,3.663480943889776142e+01,nan
1.740000000000000000e+02,3.592850523977728727e+01,nan
1.750000000000000000e+02,3.642785478390077714e+01,nan
1.760000000000000000e+02,3.530206319335353982e+01,nan
1.770000000000000000e+02,3.435976443631131616e+01,nan
1.780000000000000000e+02,3.376338789301166798e+01,nan
1.790000000000000000e+02,3.320231040877776252e+01,nan
1.800000000000000000e+02,3.258216169549436358e+01,nan
1.810000000000000000e+02,3.204348050778774137e+01,nan
1.820000000000000000e+02,3.118067147701344055e+01,nan
1.830000000000000000e+02,3.106284306717000732e+01,nan
1.840000000000000000e+02,3.112180799890128924e+01,nan
1.850000000000000000e+02,3.152719624283908217e+01,nan
1.860000000000000000e+02,3.052492857223205647e+01,nan
1.870000000000000000e+02,2.989250362767769076e+01,nan
1.880000000000000000e+02,2.921798713654774815e+01,nan
1.890000000000000000e+02,2.870427159318316512e+01,nan
1.900000000000000000e+02,2.867387690705169945e+01,nan
1.910000000000000000e+02,2.856560171896871481e+01,nan
1.920000000000000000e+02,2.738411929204665540e+01,nan
1.930000000000000000e+02,2.660977137043222029e+01,nan
1.940000000000000000e+02,2.746019799735554301e+01,nan
1.950000000000000000e+02,2.761920740956016118e+01,nan
1.960000000000000000e+02,2.625571621662385979e+01,nan
1.970000000000000000e+02,2.621128836972552989e+01,nan
1.980000000000000000e+02,2.629936242146763448e+01,nan
1.990000000000000000e+02,2.592809995781566101e+01,3.606156307146519424e+01
2.000000000000000000e+02,2.611657513222695570e+01,3.602482884246731487e+01
2.010000000000000000e+02,2.503781830744311065e+01,3.597071084934471230e+01
2.020000000000000000e+02,2.615993680813863165e+01,3.591794312069905715e+01
2.030000000000000000e+02,2.513118411413903175e+01,3.584622816951875990e+01
2.040000000000000000e+02,2.669848511789057000e+01,3.576904522504869988e+01
2.050000000000000000e+02,2.580598060624981827e+01,3.567963428327388442e+01
2.060000000000000000e+02,2.599361348169404806e+01,3.559148390666143058e+01
2.070000000000000000e+02,2.619113956695211698e+01,3.551092981140710947e+01
2.080000000000000000e+02,2.583743515164576365e+01,3.542275660908475032e+01
2.090000000000000000e+02,2.624661121134527519e+01,3.534247325799956485e+01
2.100000000000000000e+02,2.666067432398514825e+01,3.527111163377072245e+01
2.110000000000000000e+02,2.624441104941614356e+01,3.519743985602876535e+01
2.120000000000000000e+02,2.689073074278454101e+01,3.513490703105966872e+01
2.130000000000000000e+02,2.633451411637011574e+01,3.506885115438095823e+01
2.140000000000000000e+02,2.653803300197621695e+01,3.500420379317330344e+01
2.150000000000000000e+02,2.705811960584487963e+01,3.494590915300123157e+01
2.160000000000000000e+02,2.703233467342542440e+01,3.489297563782324119e+01
2.170000000000000000e+02,2.728910296465096508e+01,3.485078630355918250e+01
2.180000000000000000e+02,2.742336821340488484e+01,3.481426996525872397e+01
2.190000000000000000e+02,2.777875813714349817e+01,3.479079979851195503e+01
2.200000000000000000e+02,2.791209342134203553e+01,3.477457039825247165e+01
2.210000000000000000e+02,2.825252587157272899e+01,3.476885801052187475e+01
2.220000000000000000e+02,2.819395723565443745e+01,3.476660955843691170e+01
2.230000000000000000e+02,2.802885254448938213e+01,3.477387997899212024e+01
2.240000000000000000e+02,2.725151273524207340e+01,3.477815382697580304e+01
2.250000000000000000e+02,2.839079594647685667e+01,3.480380079871530086e+01
2.260000000000000000e+02,2.824332512785488802e+01,3.483534190523675989e+01
2.270000000000000000e+02,2.745605155122696317e+01,3.487543064160888662e+01
2.280000000000000000e+02,2.813959120151189097e+01,3.491895476933080289e+01
2.290000000000000000e+02,2.834722827627589936e+01,3.496288313232150813e+01
2.300000000000000000e+02,2.859600936598178578e+01,3.500730927187378683e+01
2.310000000000000000e+02,2.782013878383416738e+01,3.505263176667652658e+01
2.320000000000000000e+02,2.805533904929131950e+01,3.509799631331321734e+01
2.330000000000000000e+02,2.908118384192658823e+01,3.514614965798691770e+01
2.340000000000000000e+02,2.909608679418083454e+01,3.519069407367236835e+01
2.350000000000000000e+02,2.956005410779121689e+01,3.524126689220803854e+01
2.360000000000000000e+02,2.979066328738076663e+01,3.529067692439557646e+01
2.370000000000000000e+02,3.064840617539047685e+01,3.533981340561911111e+01
2.380000000000000000e+02,3.117210060841266284e+01,3.538794477128782745e+01
2.390000000000000000e+02,3.020300372688882362e+01,3.543873688061585625e+01
2.400000000000000000e+02,3.225600940620169865e+01,3.549273649626415761e+01
2.410000000000000000e+02,3.143402634159950537e+01,3.554616423824015925e+01
2.420000000000000000e+02,3.258320643219711599e+01,3.560112043431250584e+01
2.430000000000000000e+02,3.243587043342930087e+01,3.564956060178557351e+01
2.440000000000000000e+02,3.449555795419439619e+01,3.570486350989136781e+01
2.450000000000000000e+02,3.363636745816755536e+01,3.575279976085731448e+01
2.460000000000000000e+02,3.553899098773484866e+01,3.580284449337774078e+01
2.470000000000000000e+02,3.572059636063532650e+01,3.585419298036040203e+01
2.480000000000000000e+02,3.643893509989993618e+01,3.591793187171519719e+01
2.490000000000000000e+02,3.602214080236794302e+01,3.597279863926027588e+01
2.500000000000000000e+02,3.527475716753079382e+01,3.602311822040800848e+01
2.510000000000000000e+02,3.688849160329334609e+01,3.608504461509367189e+01
2.520000000000000000e+02,3.817872219510987009e+01,3.614668723540085438e+01
2.530000000000000000e+02,3.731629120649427023e+01,3.619742731348641485e+01
2.540000000000000000e+02,3.888615885950429174e+01,3.625007609498219807e+01
2.550000000000000000e+02,3.906899884952542834e+01,3.631277344515377337e+01
2.560000000000000000e+02,3.908269740850272456e+01,3.636950995894277838e+01
2.570000000000000000e+02,4.005659625777634858e+01,3.642962852212551894e+01
2.580000000000000000e+02,4.102644324070909931e+01,3.649622118142111304e+01
2.590000000000000000e+02,3.995092693248882654e+01,3.655310490342999685e+01
2.600000000000000000e+02,4.021970831544606995e+01,3.660454229586510166e+01
2.610000000000000000e+02,4.036798420971300061e+01,3.665281138289074647e+01
2.620000000000000000e+02,4.214874704022264496e+01,3.670652974851135042e+01
2.630000000000000000e+02,4.126621186270713793e+01,3.675956986215214073e+01
2.640000000000000000e+02,4.265838955402374211e+01,3.681648581597470837e+01
2.650000000000000000e+02,4.279615497589111328e+01,3.687002523831139911e+01
2.660000000000000000e+02,4.449999237060546875e+01,3.692409155870770832e+01
