step,raw,smoothed
0.000000000000000000e+00,1.230140209197998047e+00,nan
1.000000000000000000e+00,3.416837692260742188e+00,nan
2.000000000000000000e+00,1.458306550979614258e+00,nan
3.000000000000000000e+00,1.842501401901245117e+00,nan
4.000000000000000000e+00,1.032121062278747559e+00,nan
5.000000000000000000e+00,9.853667616844177246e-01,nan
6.000000000000000000e+00,2.096745014190673828e+00,nan
7.000000000000000000e+00,2.721335649490356445e+00,nan
8.000000000000000000e+00,1.806322336196899414e+00,nan
9.000000000000000000e+00,1.669373035430908203e+00,nan
1.000000000000000000e+01,2.311513423919677734e+00,nan
1.100000000000000000e+01,2.637414216995239258e+00,nan
1.200000000000000000e+01,1.679483890533447266e+00,nan
1.300000000000000000e+01,1.196730732917785645e+00,nan
1.400000000000000000e+01,1.179296255111694336e+00,nan
1.500000000000000000e+01,4.070338904857635498e-01,nan
1.600000000000000000e+01,2.197758913040161133e+00,nan
1.700000000000000000e+01,2.095117568969726562e+00,nan
1.800000000000000000e+01,2.365236759185791016e+00,nan
1.900000000000000000e+01,1.133731245994567871e+00,nan
2.000000000000000000e+01,1.731758356094360352e+00,nan
2.100000000000000000e+01,2.014083862304687500e+00,nan
2.200000000000000000e+01,2.447124004364013672e+00,nan
2.300000000000000000e+01,3.394908666610717773e+00,nan
2.400000000000000000e+01,8.555167913436889648e-01,nan
2.500000000000000000e+01,2.749121189117431641e+00,nan
2.600000000000000000e+01,2.806566357612609863e-01,nan
2.700000000000000000e+01,2.232994794845581055e+00,nan
2.800000000000000000e+01,2.366582870483398438e+00,nan
2.900000000000000000e+01,2.337077379226684570e+00,nan
3.000000000000000000e+01,2.261064052581787109e+00,nan
3.100000000000000000e+01,5.369938015937805176e-01,nan
3.200000000000000000e+01,1.808167338371276855e+00,nan
3.300000000000000000e+01,1.280329704284667969e+00,nan
3.400000000000000000e+01,2.904571592807769775e-02,nan
3.500000000000000000e+01,3.200650811195373535e-01,nan
3.600000000000000000e+01,-1.499644398689270020e+00,nan
3.700000000000000000e+01,1.097518801689147949e+00,nan
